vocabJapan,vocabKana,vocabTranslation,partOfSpeech,vocabFurigana,sentenceJapanese,sentenceTranslation,sentenceFurigana,notesKanjified,vocabPitch
緑色,みどりいろ,green,noun,緑色[みどりいろ],彼は緑色のジャケットを着ています。,He's wearing a green jacket.,彼[かれ]は<b> 緑色[みどりいろ]</b>のジャケットを 着[き]ています。,緑色,
タイプライター,たいぷらいたー,typewriter,noun,タイプライター,母は古いタイプライターを持っています。,My mother has an old typewriter.,母[はは]は 古[ふる]い<b>タイプライター</b>を 持[も]っています。,タイプライター,4
指輪,ゆびわ,ring,noun,指輪[ゆびわ],彼女に指輪をプレゼントしました。,I gave her a ring as a gift.,彼女[かのじょ]に<b> 指輪[ゆびわ]</b>をプレゼントしました。,指輪,0
往復,おうふく,round trip,noun,往復[おうふく],往復切符をください。,I'd like a roundtrip ticket please.,<b> 往復[おうふく]</b> 切符[きっぷ]をください。,往復,0
留学生,りゅうがくせい,student studying abroad,noun,留学生[りゅうがくせい],彼は留学生です。,He's an international student.,彼[かれ]は<b> 留学生[りゅうがくせい]</b>です。,留学生,3 4
ベル,べる,bell,noun,ベル,玄関のベルが鳴った。,The door bell rang.,玄関[げんかん]の<b>ベル</b>が 鳴[な]った。,ベル,1
停留所,ていりゅうじょ,(bus) stop,noun,停留所[ていりゅうじょ],バスの停留所で１０分待ちました。,I waited for ten minutes at the bus stop.,バスの<b> 停留所[ていりゅうじょ]</b>で１０ 分[ぷん] 待[ま]ちました。,停留所,0 5
留守,るす,not at home,noun,留守[るす],父は今、留守です。,My father isn't at home now.,父[ちち]は 今[いま]、<b> 留守[るす]</b>です。,留守,1
お宅,おたく,(someone else's) home,noun,お宅[たく],先生のお宅はどちらですか。,Which is the teacher's house?,先生[せんせい]の<b>お 宅[たく]</b>はどちらですか。,お宅,
住宅,じゅうたく,"housing, residence",noun,住宅[じゅうたく],ここは静かな住宅地だ。,This is a quiet residential area.,ここは 静[しず]かな<b> 住宅[じゅうたく]</b> 地[ち]だ。,住宅,0
クーラー,くーらー,air conditioner (cooling),noun,クーラー,暑いのでクーラーをつけました。,I turned on the air conditioning because it was hot.,暑[あつ]いので<b>クーラー</b>をつけました。,クーラー,1
帰宅,きたく,"return home, come home",verbal noun,帰宅[きたく],夜の１１時に帰宅しました。,I came home at 11 o'clock in the evening.,夜[よる]の１１ 時[じ]に<b> 帰宅[きたく]</b>しました。,帰宅,0
早起き,はやおき,getting up early,verbal noun,早起[はやお]き,祖父は早起きです。,My grandfather gets up early.,祖父[そふ]は<b> 早起[はやお]き</b>です。,早起き,2 3
昼寝,ひるね,nap,verbal noun,昼寝[ひるね],私の子供は毎日昼寝をします。,My child takes a nap every day.,私[わたし]の 子供[こども]は 毎日[まいにち]<b> 昼寝[ひるね]</b>をします。,昼寝,0
ミルク,みるく,milk,noun,ミルク,赤ちゃんにミルクをあげた。,I fed the baby some milk.,赤[あか]ちゃんに<b>ミルク</b>をあげた。,ミルク,1
暇,ひま,"free time, spare time",noun,暇[ひま],明日は暇ですか。,Are you free tomorrow?,明日[あした]は<b> 暇[ひま]</b>ですか。,暇,0
趣味,しゅみ,"hobby, interest",noun,趣味[しゅみ],私の趣味は映画とテニスです。,My hobbies are playing tennis and watching movies.,私[わたし]の<b> 趣味[しゅみ]</b>は 映画[えいが]とテニスです。,趣味,1
両替,りょうがえ,money exchange,verbal noun,両替[りょうがえ],１万円を両替してください。,"I'd like to exchange 10,000 yen.",１ 万[まん] 円[えん]を<b> 両替[りょうがえ]</b>してください。,両替,0
片道,かたみち,one way,noun,片道[かたみち],東京まで片道切符を買った。,I bought a one-way ticket to Tokyo.,東京[とうきょう]まで<b> 片道[かたみち]</b> 切符[きっぷ]を 買[か]った。,片道,0
サラダ,さらだ,salad,noun,サラダ,サラダをたくさん食べました。,I ate a lot of salad.,<b>サラダ</b>をたくさん 食[た]べました。,サラダ,1
内側,うちがわ,"inside, interior",noun,内側[うちがわ],白線の内側に下がってください。,Please step back behind the white line.,白線[はくせん]の<b> 内側[うちがわ]</b>に 下[さ]がってください。,内側,0
向こう側,むこうがわ,other side,noun,向[む]こう側[がわ],私の家は川の向こう側にあります。,My house is on the other side of the river.,私[わたし]の 家[いえ]は 川[かわ]の<b> 向[む]こう 側[がわ]</b>にあります。,向こう側,0
外側,そとがわ,"exterior, outside",noun,外側[そとがわ],白線の外側を歩かないでください。,Please don't walk outside the white line.,白線[はくせん]の<b> 外側[そとがわ]</b>を 歩[ある]かないでください。,外側,0
ベルト,べると,belt,noun,ベルト,ベルトがきつくなりました。,My belt has gotten tight.,<b>ベルト</b>がきつくなりました。,ベルト,0
裏返す,うらがえす,"turn over, turn inside out",verb,裏返[うらがえ]す,彼は紙を裏返しました。,He turned the paper over.,彼[かれ]は 紙[かみ]を<b> 裏返[うらがえ]しました</b>。,裏返す,3
週刊誌,しゅうかんし,weekly magazine,noun,週刊誌[しゅうかんし],その週刊誌はゴシップばかりだ。,That weekly is full of gossip.,その<b> 週刊[しゅうかん] 誌[し]</b>はゴシップばかりだ。,週刊誌,3
朝刊,ちょうかん,morning edition paper,noun,朝刊[ちょうかん],今日の朝刊に面白い記事があった。,There was an interesting article in today's morning paper.,今日[きょう]の<b> 朝刊[ちょうかん]</b>に 面白[おもしろ]い 記事[きじ]があった。,朝刊,0
夕刊,ゆうかん,evening edition paper,noun,夕刊[ゆうかん],そのニュースは夕刊で見ました。,I saw that news in the evening newspaper.,そのニュースは<b> 夕刊[ゆうかん]</b>で 見[み]ました。,夕刊,0
ラーメン,らーめん,ramen (Chinese noodles),noun,ラーメン,夕食にラーメンを食べました。,I ate ramen for supper.,夕食[ゆうしょく]に<b>ラーメン</b>を 食[た]べました。,ラーメン,1
細か,こまか,"minute, elaborate",adjectival noun,細[こま]か,それは細かな問題です。,That's a small but complex issue.,それは<b> 細[こま]か</b>な 問題[もんだい]です。,細か,2 3
積もる,つもる,pile up,verb,積[つ]もる,雪が積もっています。,The snow has piled up.,雪[ゆき]が<b> 積[つ]もって</b>います。,積もる,2 0
訳,やく,translation,noun,訳[やく],その文の訳を読みました。,I read a translation of that sentence.,その 文[ぶん]の<b> 訳[やく]</b>を 読[よ]みました。,訳,1 2
ライター,らいたー,lighter,noun,ライター,店にライターを忘れました。,I forgot my lighter at the shop.,店[みせ]に<b>ライター</b>を 忘[わす]れました。,ライター,1
訳す,やくす,translate,verb,訳[やく]す,この文を訳してください。,Please translate this sentence.,この 文[ぶん]を<b> 訳[やく]して</b>ください。,訳す,2
訳,わけ,"reason, cause",noun,訳[わけ],そんな訳で、私は仕事を辞めました。,I quit my job for that reason.,そんな<b> 訳[わけ]</b>で、 私[わたし]は 仕事[しごと]を 辞[や]めました。,訳,1
誤解,ごかい,misunderstanding,verbal noun,誤解[ごかい],私の気持ちを誤解しているんじゃない！,"You misunderstand my feelings, don't you?",私[わたし]の 気持[きも]ちを<b> 誤解[ごかい]</b>しているんじゃない！,誤解,0
検討,けんとう,examination and consideration,verbal noun,検討[けんとう],今日中にこの問題を検討してください。,Please examine and consider this problem by the end of the day.,今日[きょう] 中[じゅう]にこの 問題[もんだい]を<b> 検討[けんとう]</b>してください。,検討,0
ワイシャツ,わいしゃつ,"business shirt, dress shirt",noun,ワイシャツ,彼は白いワイシャツを着ている。,He's wearing a white shirt.,彼[かれ]は 白[しろ]い<b>ワイシャツ</b>を 着[き]ている。,ワイシャツ,0
塗る,ぬる,"spread on, paint",verb,塗[ぬ]る,壁にペンキを塗っています。,I'm painting the wall.,壁[かべ]にペンキを<b> 塗[ぬ]って</b>います。,塗る,0
付ける,つける,"attach, apply, put",verb,付[つ]ける,おまけを付けました。,I put a freebie in there.,おまけを<b> 付[つ]けました</b>。,付ける,2
付く,つく,"stick to, cling to",verb,付[つ]く,靴に泥が付いています。,I have mud on my shoes.,靴[くつ]に 泥[どろ]が<b> 付[つ]いて</b>います。,付く,1 2
気付く,きづく,"notice, realize",verb,気付[きづ]く,彼はやっと問題点に気付きました。,He finally realized what the problem was.,彼[かれ]はやっと 問題[もんだい] 点[てん]に<b> 気付[きづ]きました</b>。,気付く,2
シャワー,しゃわー,shower,noun,シャワー,朝、急いでシャワーを浴びました。,I took a very quick shower in the morning.,朝[あさ]、 急[いそ]いで<b>シャワー</b>を 浴[あ]びました。,シャワー,1
片付ける,かたづける,"put in order, clean up",verb,片付[かたづ]ける,早く部屋を片付けなさい。,Hurry and clean up your room.,早[はや]く 部屋[へや]を<b> 片付[かたづ]けなさい</b>。,片付ける,4
受付,うけつけ,"receptionist, information office",noun,受付[うけつけ],受付は９時からです。,Registration starts from nine o'clock.,<b> 受付[うけつけ]</b>は９ 時[じ]からです。,受付,0
近付く,ちかづく,"approach, come close",verb,近付[ちかづ]く,女性が近付いてきました。,A woman approached me.,女性[じょせい]が<b> 近付[ちかづ]いて</b>きました。,近付く,3 0
うどん,うどん,Japanese wheat noodles,noun,うどん,私はお昼にうどんを食べました。,I ate udon noodles for lunch.,私[わたし]はお 昼[ひる]に<b>うどん</b>を 食[た]べました。,饂飩,0
受け付ける,うけつける,"receive, accept",verb,受[う]け付[つ]ける,郵便物は５時まで受け付けています。,We take mails until five o'clock.,郵便[ゆうびん] 物[ぶつ]は５ 時[じ]まで<b> 受[う]け 付[つ]けて</b>います。,受け付ける,4 0
片付く,かたづく,"be put in order, be finished",verb,片付[かたづ]く,仕事がだいぶ片付いた。,I've finished quite a lot of my work.,仕事[しごと]がだいぶ<b> 片付[かたづ]いた</b>。,片付く,3
貼る,はる,"stick, paste, put",verb,貼[は]る,机にシールを貼った。,I put a sticker on the desk.,机[つくえ]にシールを<b> 貼[は]った</b>。,貼る,1;0
記念日,きねんび,"memorial day, anniversary",noun,記念日[きねんび],今日は両親の結婚記念日です。,Today's my parents' wedding anniversary.,今日[きょう]は 両親[りょうしん]の 結婚[けっこん]<b> 記念[きねん] 日[び]</b>です。,記念日,2
ごみ,ごみ,trash,noun,ごみ,今日はごみの日だ。,Today is the garbage day.,今日[きょう]は<b>ごみ</b>の 日[ひ]だ。,塵,1;2
順番,じゅんばん,"order, turn",noun,順番[じゅんばん],これを順番通りに並べ替えてください。,Please rearrange these in order.,これを<b> 順番[じゅんばん]</b> 通[どお]りに 並[なら]べ 替[か]えてください。,順番,0
例,れい,example,noun,例[れい],一つ例をあげてください。,Please give an example.,一[ひと]つ<b> 例[れい]</b>をあげてください。,例,1
例文,れいぶん,example sentence,noun,例文[れいぶん],例文を３つ作ってください。,Please write three example sentences.,<b> 例文[れいぶん]</b>を３つ 作[つく]ってください。,例文,0
スーパーマーケット,すーぱーまーけっと,supermarket,noun,スーパーマーケット,スーパーマーケットでにんじんを買った。,I bought carrots at the supermarket.,<b>スーパーマーケット</b>でにんじんを 買[か]った。,スーパーマーケット,5
余る,あまる,"remain, be in excess",verb,余[あま]る,夕食の料理がたくさん余った。,We have a lot of leftover from dinner.,夕食[ゆうしょく]の 料理[りょうり]がたくさん<b> 余[あま]った</b>。,余る,2
途中,とちゅう,"on the way, half way",noun,途中[とちゅう],途中で３０分ほど休みましょう。,Let's take a rest on the way for about 30 minutes.,<b> 途中[とちゅう]</b>で３０ 分[ぷん]ほど 休[やす]みましょう。,途中,0
除く,のぞく,"remove, exclude",verb,除[のぞ]く,部長を除く全員が土曜日も働いた。,Everyone except for the director worked on Saturday.,部長[ぶちょう]を<b> 除[のぞ]く</b> 全員[ぜんいん]が 土曜日[どようび]も 働[はたら]いた。,除く,0
遅刻,ちこく,"tardiness, lateness",verbal noun,遅刻[ちこく],遅刻しないでください。,Please don't be late.,<b> 遅刻[ちこく]</b>しないでください。,遅刻,0
ぶらぶら,ぶらぶら,"wander, walk around",adverb,ぶらぶら,朝、近所をぶらぶらした。,I wandered around the neighborhood this morning.,朝[あさ]、 近所[きんじょ]を<b>ぶらぶら</b>した。,ぶらぶら,
豊か,ゆたか,"rich, ample",adjectival noun,豊[ゆた]か,彼は心が豊かな人です。,He has a rich spirit.,彼[かれ]は 心[こころ]が<b> 豊[ゆた]か</b>な 人[ひと]です。,豊か,1
苦い,にがい,bitter,adjective,苦[にが]い,私は苦いコーヒーが好きです。,I like bitter coffee.,私[わたし]は<b> 苦[にが]い</b>コーヒーが 好[す]きです。,苦い,2
苦手,にがて,"not good at, be bad at",adjectival noun,苦手[にがて],私は料理が苦手です。,I'm not good at cooking.,私[わたし]は 料理[りょうり]が<b> 苦手[にがて]</b>です。,苦手,0 3
アナウンサー,あなうんさー,announcer,noun,アナウンサー,私はアナウンサーになりたい。,I want to become an announcer.,私[わたし]は<b>アナウンサー</b>になりたい。,アナウンサー,3
貧乏,びんぼう,"poverty, destitution",adjectival noun,貧乏[びんぼう],彼は昔は貧乏だった。,He used to be poor.,彼[かれ]は 昔[むかし]は<b> 貧乏[びんぼう]</b>だった。,貧乏,1
幸せ,しあわせ,happiness,adjectival noun,幸[しあわ]せ,良い友達がいて私は幸せだ。,I'm happy that I have good friends.,良[い]い 友達[ともだち]がいて 私[わたし]は<b> 幸[しあわ]せ</b>だ。,幸せ,0
不幸,ふこう,"unhappiness, misfortune",adjectival noun,不幸[ふこう],彼女の家族に不幸があった。,A misfortune befell her family.,彼女[かのじょ]の 家族[かぞく]に<b> 不幸[ふこう]</b>があった。,不幸,2
塩辛い,しおからい,salty,adjective,塩辛[しおから]い,海の水は塩辛い。,Sea water is salty.,海[うみ]の 水[みず]は<b> 塩辛[しおから]い</b>。,塩辛い,4
いかが,いかが,how,adverb,いかが,お加減はいかがですか。,How are you feeling?,お 加減[かげん]は<b>いかが</b>ですか。,いかが,2
濃い,こい,"strong, concentrated",adjective,濃[こ]い,私は濃い味が好きだ。,I like strong tastes.,私[わたし]は<b> 濃[こ]い</b> 味[あじ]が 好[す]きだ。,濃い,1
迫る,せまる,"close in on, approach",verb,迫[せま]る,締め切りが迫っています。,The deadline is approaching.,締[し]め 切[き]りが<b> 迫[せま]って</b>います。,迫る,2
引っ越す,ひっこす,"move, relocate",verb,引[ひ]っ越[こ]す,来月、大阪に引っ越します。,I'll move to Osaka next month.,来月[らいげつ]、 大阪[おおさか]に<b> 引[ひ]っ 越[こ]します</b>。,引っ越す,3
ステレオ,すてれお,stereo,noun,ステレオ,彼はステレオで音楽を聞いた。,He listened to music on the stereo.,彼[かれ]は<b>ステレオ</b>で 音楽[おんがく]を 聞[き]いた。,ステレオ,0
越える,こえる,"go over, go across",verb,越[こ]える,私たちは高い山を越えました。,We went over a high mountain.,私[わたし]たちは 高[たか]い 山[やま]を<b> 越[こ]えました</b>。,越える,0
引っ越し,ひっこし,moving (house),verbal noun,引[ひ]っ越[こ]し,去年、引っ越ししました。,I moved last year.,去年[きょねん]、<b> 引[ひ]っ 越[こ]し</b>しました。,引っ越し,0
失礼,しつれい,"rudeness, to excuse oneself",verbal noun,失礼[しつれい],ではそろそろ失礼します。,"Well, it's about time for me to go.",ではそろそろ<b> 失礼[しつれい]</b>します。,失礼,2
お礼,おれい,"thanks, gratitude",verbal noun,お礼[れい],彼女にお礼の手紙を書きました。,I wrote her a thank you letter.,彼女[かのじょ]に<b>お 礼[れい]</b>の 手紙[てがみ]を 書[か]きました。,お礼,
きらきら,きらきら,"sparkling, glittering",adverb,きらきら,星がきらきら光っている。,The stars are shining brightly.,星[ほし]が<b>きらきら</b> 光[ひか]っている。,きらきら,1
謝る,あやまる,apologize,verb,謝[あやま]る,彼は直ぐに謝りました。,He apologized at once.,彼[かれ]は 直[す]ぐに<b> 謝[あやま]りました</b>。,謝る,3
注射,ちゅうしゃ,"injection, shot",verbal noun,注射[ちゅうしゃ],彼は注射があまり好きではありません。,He doesn't like getting shots very much.,彼[かれ]は<b> 注射[ちゅうしゃ]</b>があまり 好[す]きではありません。,注射,0
誘う,さそう,"invite, ask out",verb,誘[さそ]う,彼女をデートに誘った。,I asked her out on a date.,彼女[かのじょ]をデートに<b> 誘[さそ]った</b>。,誘う,0
怒る,おこる,"get angry, scold",verb,怒[おこ]る,彼女が嘘をついたので、彼は怒った。,He was angry because she lied to him.,彼女[かのじょ]が 嘘[うそ]をついたので、 彼[かれ]は<b> 怒[おこ]った</b>。,怒る,2
フィルム,ふぃるむ,film,noun,フィルム,旅行のためにたくさんフィルムを買った。,I bought a lot of film for the trip.,旅行[りょこう]のためにたくさん<b>フィルム</b>を 買[か]った。,フィルム,1
独身,どくしん,"single, unmarried",noun,独身[どくしん],私の兄はまだ独身です。,My big brother's still single.,私[わたし]の 兄[あに]はまだ<b> 独身[どくしん]</b>です。,独身,0
出身,しゅっしん,"come from, origin",noun,出身[しゅっしん],教授はカナダ出身です。,The professor is from Canada.,教授[きょうじゅ]はカナダ<b> 出身[しゅっしん]</b>です。,出身,0
仲良し,なかよし,good friend,noun,仲良[なかよ]し,あの３人組は仲良しですね。,Those three are good friends.,あの３ 人組[にんぐみ]は<b> 仲良[なかよ]し</b>ですね。,仲良し,2
ダンス,だんす,"dance, dancing",verbal noun,ダンス,彼女はダンスが大好きです。,She loves to dance.,彼女[かのじょ]は<b>ダンス</b>が 大好[だいす]きです。,ダンス,1
招待,しょうたい,invitation,verbal noun,招待[しょうたい],高校のときの先生を結婚式に招待した。,I invited my high school teacher to the wedding.,高校[こうこう]のときの 先生[せんせい]を 結婚式[けっこんしき]に<b> 招待[しょうたい]</b>した。,招待,1
招く,まねく,invite,verb,招[まね]く,両親を食事に招いた。,I invited my parents for a meal.,両親[りょうしん]を 食事[しょくじ]に<b> 招[まね]いた</b>。,招く,2
奥さん,おくさん,"(someone else's) wife, married woman",noun,奥[おく]さん,彼の奥さんはきれいな方です。,His wife is beautiful.,彼[かれ]の<b> 奥[おく]さん</b>はきれいな 方[かた]です。,奥さん,1
奥,おく,"inner part, the back",noun,奥[おく],はさみは机の奥にあった。,The scissors were at the back of the desk.,はさみは 机[つくえ]の<b> 奥[おく]</b>にあった。,奥,1
こんなに,こんなに,"this much, such",adverb,こんなに,こんなに面白い本は初めて読んだ。,I've never read such an interesting book.,<b>こんなに</b> 面白[おもしろ]い 本[ほん]は 初[はじ]めて 読[よ]んだ。,こんなに,
皆さん,みなさん,"everybody, everyone",noun,皆[みな]さん,皆さんにお話があります。,I have something to say to you all.,<b> 皆[みな]さん</b>にお 話[はなし]があります。,皆さん,2
皆様,みなさま,"everyone, ladies and gentlemen",noun,皆様[みなさま],皆様、こんにちは。,Hello everyone.,<b> 皆様[みなさま]</b>、こんにちは。,皆様,2
国籍,こくせき,"nationality, citizenship",noun,国籍[こくせき],私は日本国籍です。,I'm a Japanese citizen.,私[わたし]は 日本[にほん]<b> 国籍[こくせき]</b>です。,国籍,0
まあ,まあ,well (interjection),interjection,まあ,まあこれでいいだろう。,"Well, I guess this will do.",<b>まあ</b>これでいいだろう。,まあ,1
愛,あい,love,verbal noun,愛[あい],彼女は愛をこめて手紙を書いた。,She wrote the letter with love.,彼女[かのじょ]は<b> 愛[あい]</b>をこめて 手紙[てがみ]を 書[か]いた。,愛,1
可愛らしい,かわいらしい,"lovely, charming",adjective,可愛[かわい]らしい,彼女は娘に可愛らしい服を作りましたね。,She made some lovely clothes for her daughter.,彼女[かのじょ]は 娘[むすめ]に<b> 可愛[かわい]らしい</b> 服[ふく]を 作[つく]りましたね。,可愛らしい,5
愛する,あいする,"love, care for",verb,愛[あい]する,私は家族を愛しています。,I love my family.,私[わたし]は 家族[かぞく]を<b> 愛[あい]して</b>います。,愛する,3
誕生日,たんじょうび,birthday,noun,誕生日[たんじょうび],彼女の誕生日は７月１６日です。,Her birthday is July 16th.,彼女[かのじょ]の<b> 誕生[たんじょう] 日[び]</b>は７ 月[がつ]１６ 日[にち]です。,誕生日,3
メール,めーる,e-mail,verbal noun,メール,またメールするね。,I'll e-mail you again.,また<b>メール</b>するね。,メール,1
延ばす,のばす,"extend, postpone",verb,延[の]ばす,出発を一週間延ばしたの。,I postponed my departure for a week.,出発[しゅっぱつ]を 一週[いっしゅう] 間[かん]<b> 延[の]ばした</b>の。,延ばす,2
祝日,しゅくじつ,holiday,noun,祝日[しゅくじつ],５月３日は祝日だ。,May 3rd is a holiday.,５ 月[がつ]３ 日[か]は<b> 祝日[しゅくじつ]</b>だ。,祝日,0
泣く,なく,"cry, weep",verb,泣[な]く,妹はすぐに泣く。,My little sister cries easily.,妹[いもうと]はすぐに<b> 泣[な]く</b>。,泣く,0
インターネット,いんたーねっと,Internet,noun,インターネット,私たちはインターネットを通じて知り合いました。,We met on the Internet.,私[わたし]たちは<b>インターネット</b>を 通[つう]じて 知[し]り 合[あ]いました。,インターネット,5
恥ずかしい,はずかしい,"embarrassed, ashamed",adjective,恥[は]ずかしい,とても恥ずかしかった。,It was very embarrassing.,とても<b> 恥[は]ずかしかった</b>。,恥ずかしい,4
弁当,べんとう,boxed lunch,noun,弁当[べんとう],今日は弁当を持ってきました。,I brought a boxed lunch today.,今日[きょう]は<b> 弁当[べんとう]</b>を 持[も]ってきました。,弁当,3
患者,かんじゃ,patient,noun,患者[かんじゃ],患者は眠っています。,The patient is sleeping.,<b> 患者[かんじゃ]</b>は 眠[ねむ]っています。,患者,0
迷う,まよう,get lost,verb,迷[まよ]う,道に迷いました。,I'm lost.,道[みち]に<b> 迷[まよ]いました</b>。,迷う,2
スター,すたー,star,noun,スター,彼はそのときスターだったよ。,He was a star at the time.,彼[かれ]はそのとき<b>スター</b>だったよ。,スター,2
迷惑,めいわく,"trouble, annoyance",verbal noun,迷惑[めいわく],人に迷惑をかけてはいけません。,You shouldn't cause trouble for other people.,人[ひと]に<b> 迷惑[めいわく]</b>をかけてはいけません。,迷惑,1
地域,ちいき,"region, area",noun,地域[ちいき],この地域は雨が多い。,There's a lot of rain in this region.,この<b> 地域[ちいき]</b>は 雨[あめ]が 多[おお]い。,地域,1
贈り物,おくりもの,"present, gift",noun,贈[おく]り物[もの],すてきな贈り物をどうもありがとう。,Thank you for the wonderful gift.,すてきな<b> 贈[おく]り 物[もの]</b>をどうもありがとう。,贈り物,0
くだらない,くだらない,"worthless, trifling",adjective,くだらない,くだらないおしゃべりはやめなさい。,Stop chattering.,<b>くだらない</b>おしゃべりはやめなさい。,下らない,
与える,あたえる,give,verb,与[あた]える,そのニュースは彼に大きなショックを与えた。,The news gave him a great shock.,そのニュースは 彼[かれ]に 大[おお]きなショックを<b> 与[あた]えた</b>。,与える,0
貯金,ちょきん,"savings, deposit",verbal noun,貯金[ちょきん],貯金は十分にあります。,I have enough savings.,<b> 貯金[ちょきん]</b>は 十分[じゅうぶん]にあります。,貯金,0
預ける,あずける,"deposit, leave (something) with (someone)",verb,預[あず]ける,鍵を彼に預けた。,I left a key with him.,鍵[かぎ]を 彼[かれ]に<b> 預[あず]けた</b>。,預ける,3
預かる,あずかる,"take care of, keep",verb,預[あず]かる,荷物を預かってください。,Please take care of my luggage.,荷物[にもつ]を<b> 預[あず]かって</b>ください。,預かる,3
ネックレス,ねっくれす,necklace,noun,ネックレス,妻にネックレスをプレゼントしました。,I gave my wife a necklace.,妻[つま]に<b>ネックレス</b>をプレゼントしました。,ネックレス,1
得意,とくい,"one's specialty, be good at",adjectival noun,得意[とくい],彼は歌が得意です。,He's good at singing.,彼[かれ]は 歌[うた]が<b> 得意[とくい]</b>です。,得意,2 0
燃える,もえる,"burn, catch on fire",verb,燃[も]える,山が燃えています。,The mountain's on fire.,山[やま]が<b> 燃[も]えて</b>います。,燃える,0
燃やす,もやす,burn (something),verb,燃[も]やす,古い手紙を燃やしたんだ。,I burned some old letters.,古[ふる]い 手紙[てがみ]を<b> 燃[も]やした</b>んだ。,燃やす,0
パジャマ,ぱじゃま,pajamas,noun,パジャマ,このパジャマを着て。,Put on these pajamas.,この<b>パジャマ</b>を 着[き]て。,パジャマ,1
焼く,やく,"bake, grill",verb,焼[や]く,今、魚を焼いています。,I'm grilling fish now.,今[いま]、 魚[さかな]を<b> 焼[や]いて</b>います。,焼く,0
焼ける,やける,"burn, cook",verb,焼[や]ける,肉が焼けました。,The meat is cooked.,肉[にく]が<b> 焼[や]けました</b>。,焼ける,0
夕焼け,ゆうやけ,sunset glow,noun,夕焼[ゆうや]け,今日は夕焼けがきれいです。,The sunset glow is beautiful today.,今日[きょう]は<b> 夕焼[ゆうや]け</b>がきれいです。,夕焼け,0
すき焼き,すきやき,sukiyaki,noun,すき焼[や]き,昨日の夜はすき焼きを食べた。,I had sukiyaki last night.,昨日[きのう]の 夜[よる]は<b>すき 焼[や]き</b>を 食[た]べた。,すき焼き,
ボールペン,ぼーるぺん,ballpoint pen,noun,ボールペン,ボールペンで名前を書いてください。,Please write your name with a ballpoint pen.,<b>ボールペン</b>で 名前[なまえ]を 書[か]いてください。,ボールペン,0
乾杯,かんぱい,"toast, drink (in celebration)",verbal noun,乾杯[かんぱい],お二人の未来に乾杯しましょう。,Let's give a toast to the couple's future.,お 二人[ふたり]の 未来[みらい]に<b> 乾杯[かんぱい]</b>しましょう。,乾杯,0
乾かす,かわかす,dry (something),verb,乾[かわ]かす,ぬれた服を乾かした。,I dried the wet clothes.,ぬれた 服[ふく]を<b> 乾[かわ]かした</b>。,乾かす,3
新幹線,しんかんせん,bullet train,noun,新幹線[しんかんせん],新幹線で京都に行きました。,I went to Kyoto by bullet train.,<b> 新幹線[しんかんせん]</b>で 京都[きょうと]に 行[い]きました。,新幹線,3
桜,さくら,"cherry tree, cherry blossom",noun,桜[さくら],桜は三月か四月に咲きます。,Cherry blossoms bloom in March or April.,<b> 桜[さくら]</b>は 三月[さんがつ]か 四月[しがつ]に 咲[さ]きます。,桜,0
かゆい,かゆい,itchy,adjective,かゆい,背中がかゆいです。,My back itches.,背中[せなか]が<b>かゆい</b>です。,痒い,2
咲く,さく,"bloom, blossom",verb,咲[さ]く,桜の花が咲きました。,Cherry blossoms have bloomed.,桜[さくら]の 花[はな]が<b> 咲[さ]きました</b>。,咲く,0
吹く,ふく,"blow, play (a wind instrument)",verb,吹[ふ]く,今日は北風が吹いている。,The north wind is blowing today.,今日[きょう]は 北風[きたかぜ]が<b> 吹[ふ]いて</b>いる。,吹く,1 2
散歩,さんぽ,"walk, stroll",verbal noun,散歩[さんぽ],公園を散歩しようか。,Do you want to take a walk in the park?,公園[こうえん]を<b> 散歩[さんぽ]</b>しようか。,散歩,0
すいか,すいか,watermelon,noun,すいか,夏はすいかがおいしい。,Watermelon is delicious in summer.,夏[なつ]は<b>すいか</b>がおいしい。,水瓜,1 0;0;1
屋根,やね,roof,noun,屋根[やね],屋根にカラスが止まっています。,There's a crow on the roof.,<b> 屋根[やね]</b>にカラスが 止[と]まっています。,屋根,1
黒板,こくばん,blackboard,noun,黒板[こくばん],答えを黒板に書いてください。,Please write your answer on the blackboard.,答[こた]えを<b> 黒板[こくばん]</b>に 書[か]いてください。,黒板,0
掲示板,けいじばん,"notice board, bulletin board",noun,掲示板[けいじばん],掲示板のお知らせを見ましたか。,Did you see the notice on the bulletin board?,<b> 掲示板[けいじばん]</b>のお 知[し]らせを 見[み]ましたか。,掲示板,0
草,くさ,"grass, weed",noun,草[くさ],庭に草が生えている。,Weeds are growing in the garden.,庭[にわ]に<b> 草[くさ]</b>が 生[は]えている。,草,
そば,そば,buckwheat noodles,noun,そば,お昼にそばを食べた。,I ate buckwheat noodles for lunch.,お 昼[ひる]に<b>そば</b>を 食[た]べた。,蕎麦,1
葉,は,leaf,noun,葉[は],これは桜の葉です。,This is a cherry tree leaf.,これは 桜[さくら]の<b> 葉[は]</b>です。,葉,0
絵葉書,えはがき,postcard,noun,絵葉書[えはがき],友達から絵葉書が届きました。,I received a postcard from my friend.,友達[ともだち]から<b> 絵葉書[えはがき]</b>が 届[とど]きました。,絵葉書,2
